order_id,order_date,customer,category,amount_original,currency_original,amount_brl
2,2023-10-12,Ana Ferreira,Casa,481.69,BRL,481.69
3,2024-07-19,Vitória Martins,Eletrônicos,4278.61,BRL,4278.61
4,2024-11-30,Vitória Ferreira,Moda,3446.33,BRL,3446.33
5,2024-08-03,Karina Gomes,Livros,715.13,USD,3968.11
6,2024-05-20,Bruno Duarte,Moda,1920.02,USD,9893.10
7,2023-12-15,Nuno Ferreira,Casa,549.73,BRL,549.73
8,2023-01-01,Paulo Almeida,Casa,308.32,BRL,308.32
9,2024-07-16,Rafael Vasconcelos,Moda,3569.74,BRL,3569.74
10,2024-07-21,Henrique Almeida,Eletrônicos,1204.95,USD,6664.82
11,2023-07-14,Nuno Martins,Livros,3237.29,BRL,3237.29
12,2023-09-13,Carla Pereira,Esporte,4844.63,BRL,4844.63
13,2024-02-04,Olívia Klein,Esporte,1103.85,BRL,1103.85
14,2024-06-04,Felipe Carvalho,Moda,2902.40,BRL,2902.40
15,2024-02-10,João Pereira,Eletrônicos,1340.36,BRL,1340.36
16,2024-10-31,Sofia Klein,Eletrônicos,552.84,USD,3096.73
18,2024-01-14,Eduarda Oliveira,Casa,218.54,BRL,218.54
19,2023-08-31,Felipe Oliveira,Não informado,4654.53,BRL,4654.53
20,2024-04-26,Olívia Martins,Moda,365.55,BRL,365.55
21,2023-09-25,Isabela Barbosa,Livros,4920.51,BRL,4920.51
22,2023-07-21,Carla Lopes,Eletrônicos,2053.33,BRL,2053.33
23,2023-11-05,Ana Klein,Livros,2219.60,BRL,2219.60
24,2024-09-26,Henrique Klein,Moda,4250.83,BRL,4250.83
25,2023-01-06,Diego Oliveira,Esporte,624.16,BRL,624.16
26,2024-05-31,Sofia Pereira,Livros,1400.66,BRL,1400.66
27,2023-03-24,Henrique Nogueira,Moda,329.93,BRL,329.93
30,2023-03-25,Sofia Barbosa,Casa,3775.30,BRL,3775.30
31,2024-01-13,Vitória Duarte,Moda,1573.17,USD,7737.95
32,2023-11-05,Vitória Duarte,Esporte,1865.01,BRL,1865.01
33,2024-03-21,Rafael Jesus,Esporte,2969.89,BRL,2969.89
34,2023-12-11,Karina Ferreira,Casa,3511.16,BRL,3511.16
35,2024-04-03,Carla Klein,Moda,2663.41,BRL,2663.41
36,2023-05-03,Felipe Gomes,Livros,1428.98,BRL,1428.98
37,2023-10-27,Eduarda Queiroz,Eletrônicos,937.87,BRL,937.87
38,2024-07-30,Carla Henriques,Livros,2621.84,BRL,2621.84
39,2023-08-01,Isabela Carvalho,Moda,3452.35,BRL,3452.35
40,2024-10-02,Gabriela Oliveira,Moda,375.46,BRL,375.46
41,2023-10-06,Paulo Pereira,Eletrônicos,148.68,BRL,148.68
42,2023-06-29,Olívia Jesus,Esporte,2360.13,BRL,2360.13
43,2024-07-17,Carla Lopes,Eletrônicos,4939.84,BRL,4939.84
44,2023-07-28,Eduarda Klein,Livros,808.48,BRL,808.48
45,2023-10-07,Paulo Queiroz,Esporte,4398.15,BRL,4398.15
46,2023-11-02,Tiago Queiroz,Livros,2725.69,BRL,2725.69
48,2024-11-01,Carla Queiroz,Casa,4260.92,BRL,4260.92
49,2023-03-12,João Henriques,Livros,520.34,BRL,520.34
50,2024-08-02,Felipe Ferreira,Esporte,4564.97,BRL,4564.97
51,2024-03-28,Tiago Klein,Livros,4995.88,BRL,4995.88
53,2024-11-06,Eduarda Duarte,Eletrônicos,3666.39,BRL,3666.39
54,2023-10-07,Isabela Queiroz,Casa,4814.24,USD,24473.67
56,2024-09-16,Carla Pereira,Casa,205.18,USD,1124.06
57,2024-03-05,Eduarda Oliveira,Livros,3456.88,BRL,3456.88
58,2023-03-04,Gabriela Duarte,Livros,126.24,BRL,126.24
59,2023-12-03,Vitória Almeida,Moda,567.23,BRL,567.23
60,2024-06-22,Carla Queiroz,Casa,4727.22,BRL,4727.22
61,2024-02-16,Diego Queiroz,Livros,648.22,USD,3216.73
62,2024-12-19,Sofia Gomes,Moda,3652.71,BRL,3652.71
63,2024-03-18,Lucas Esteves,Esporte,2065.36,BRL,2065.36
64,2023-08-06,Paulo Henriques,Casa,2878.40,BRL,2878.40
65,2024-12-11,Felipe Jesus,Casa,733.16,BRL,733.16
66,2023-11-16,Tiago Vasconcelos,Eletrônicos,3315.76,BRL,3315.76
67,2024-11-14,Henrique Nogueira,Eletrônicos,3824.73,BRL,3824.73
68,2023-12-29,Bruno Oliveira,Não informado,2886.66,BRL,2886.66
69,2024-04-16,Lucas Carvalho,Eletrônicos,1564.79,BRL,1564.79
70,2024-10-22,Henrique Duarte,Moda,901.93,BRL,901.93
71,2024-10-01,Karina Esteves,Livros,299.59,BRL,299.59
