order_id,order_date,customer,category,amount
1,2023-10-09,  Eduarda Duarte,Esportes,-
2,2023-10-12,Ana Ferreira,casa,"R$ 481,69"
3,2024-07-19,Vitória Martins,ELETRONICOS,"4.278,61"
4,30/11/2024,  Vitória Ferreira,vestuario,"R$ 3.446,33"
5,Aug 03 2024,Karina Gomes,Livros,USD 715.13
6,2024-05-20,Bruno Duarte,Moda,USD  1920.02
7,15/12/2023,Nuno Ferreira,Casa,"549,73"
8,Jan 01 2023  ,Paulo Almeida,Casa,"308,32"
9,16/07/2024,Rafael Vasconcelos,Moda,"R$ 3.569,74"
10,2024-07-21,Henrique Almeida,eletronicos,USD 1204.95
11,14/07/2023,  Nuno Martins,Livros,"R$ 3.237,29"
12,2023-09-13,Carla Pereira,ESPORTE,"4.844,63"
13,2024-02-04  ,Olívia  Klein,Esporte,"R$ 1.103,85"
14,2024-06-04,Felipe Carvalho,Moda,"R$ 2.902,40"
15,2024-02-10,João Pereira,eletronicos,"1.340,36"
16,31/10/2024,Sofia Klein,Eletrônicos,USD 552.84
17,2023-02-22,  Nuno Jesus,outros,"1.324,20"
18,2024-01-14,Eduarda Oliveira,Casa,"R$ 218,54"
19,31/08/2023,Felipe Oliveira,"","4.654,53"
20,Apr 26 2024,Olívia Martins,MODA,"365,55"
21,Sep 25 2023,Isabela Barbosa  ,Livros,"R$ 4.920,51"
22,21/07/2023,Carla Lopes,Eletrônicos,"R$ 2.053,33"
23,05/11/2023,Ana Klein,Livros,"2.219,60"
24,26/09/2024,Henrique Klein,moda,"R$ 4.250,83"
25,06/01/2023,Diego Oliveira,Esporte,"R$ 624,16"
26,31/05/2024,Sofia Pereira,Livros,"1.400,66"
27,Mar 24 2023,Henrique Nogueira,vestuario,"329,93"
ORD-1023,2024-02-04,Nuno Santos,Esporte,"R$ 1.378,87"
29,2024-13-30,Mariana Teixeira,eletro,"R$ 270,27"
30,  2023-03-25,Sofia Barbosa,casa,"  3.775,30"
31,2024-01-13,Vitória Duarte,Moda,USD 1573.17
32,05/11/2023,Vitória Duarte,Esporte  ,"1.865,01"
33,21/03/2024,Rafael Jesus,Esporte,"R$ 2.969,89"
  34,11/12/2023,Karina Ferreira,Casa,"R$ 3.511,16"
35,03/04/2024,Carla Klein,Moda,"R$ 2.663,41"
36,2023-05-03,Felipe Gomes,livraria,"R$ 1.428,98"
37,2023-10-27,Eduarda Queiroz,Eletrônicos,"R$  937,87"
38,2024-07-30,Carla Henriques,Livros,"R$ 2.621,84"
39  ,01/08/2023,Isabela Carvalho,Moda,"R$ 3.452,35"
40,02/10/2024,Gabriela Oliveira,Moda,"R$ 375,46"
41,06/10/2023,Paulo Pereira,Eletrônicos,"R$ 148,68"
42,  29/06/2023,Olívia Jesus,Esporte,"R$ 2.360,13"
43,17/07/2024,Carla Lopes,Eletrônicos,"4.939,84"
44,  28/07/2023,Eduarda Klein,  livraria,"808,48"
45,2023-10-07,Paulo Queiroz,esporte,"4.398,15"
46,2023-11-02,Tiago Queiroz,Livros,"R$ 2.725,69"
47,2024-04-29,Mariana Nogueira,Moda,n/a
48,2024-11-01,Carla Queiroz,Casa,"4.260,92"
49,2023-03-12  ,João Henriques,Livros,"R$ 520,34"
50,2024-08-02,Felipe Ferreira,Esporte  ,"R$ 4.564,97"
51  ,2024-03-28,Tiago Klein,Livros,"4.995,88"
52,09/10/2023,"",Eletrônicos,"4.515,70"
53,06/11/2024,Eduarda Duarte,Eletrônicos,"R$ 3.666,39"
54,2023-10-07,Isabela Queiroz,Casa,$ 4814.24
55,2024-02-09,"",Livros,"1.917,06"
  56,2024-09-16,Carla Pereira,Casa,USD 205.18
57,2024-03-05 10:30:00,Eduarda Oliveira,Livros,"R$ 3.456,88"
58,04/03/2023,Gabriela Duarte,livros,"126,24"
59,Dec 03 2023,Vitória Almeida,Moda,"567,23  "
60,22/06/2024,Carla Queiroz,Casa,"R$ 4.727,22"
61,2024-02-16,Diego Queiroz,livros,USD 648.22
62,2024-12-19,Sofia Gomes,Moda,"R$ 3.652,71"
63,2024-03-18,Lucas Esteves,Esporte  ,"2.065,36"
64,2023-08-06,Paulo Henriques,Casa,"2.878,40"
65,Dec 11 2024,Felipe  Jesus,Casa,"733,16"
66,2023-11-16,Tiago Vasconcelos,eletronicos  ,"R$  3.315,76"
67  ,2024-11-14,Henrique Nogueira,Eletrônico,"R$ 3.824,73"
68,29/12/2023,  Bruno Oliveira,"","2.886,66"
69,2024-04-16 10:30:00,Lucas Carvalho,eletro,"R$ 1.564,79"
70,2024-10-22,Henrique Duarte,MODA,"901,93"
71,01/10/2024,Karina Esteves  ,  Livros,"299,59"
72  ,2024-07-21,Bruno  Pereira,Esporte,"R$ 771,05"
  73,2024-06-19,Lucas Martins,Livros,"3.949,54"
74,03/06/2023,Tiago Esteves,Casa,"2.982,67"
75,02/12/2024,  Carla Oliveira,Eletrônicos,"R$ 4.738,44"
76,2024-11-08,Vitória Esteves,MODA,USD 1833.78
77,2024-04-25 10:30:00,Gabriela Martins,Esporte,"1.921,28"
78,Jul 21 2024,Rafael Duarte,MODA,USD 4553.40
  79,  2023-08-18,Diego Lopes,vestuario,$ 3532.84
80,2023-10-23,Diego Barbosa,Esporte,"R$ 2.991,12"
81  ,2024-11-11,Rafael Martins,  Esporte,"121,15"
82,18/08/2024,Karina Esteves,misc,"4.154,46"
83,2023-07-26,Gabriela Barbosa,Casa,"1.281,17"
84,2024-02-14,Mariana Lopes,Livros,"R$ 1.347,93"
85,2023-10-30,Vitória Oliveira,Livros,"-50,00"
  86,2024-11-26,Ana Esteves,livros,"1.823,08"
87,2024-02-12,Isabela Henriques,Eletrônicos,"R$ 2.816,52"
88,2023-03-17,Olívia Carvalho,Casa,"R$ 1.465,64"
89,2023-13-23,Paulo Almeida,Esporte,"R$ 3.066,85"
90,  2023-11-21,Olívia Pereira,casa_decoracao,"R$ 4.831,03"
91,2024-06-15,Carla Jesus,ESPORTE,"R$ 2.522,26"
92,2023-01-30,Tiago Jesus,Esporte,"R$ 3.142,61"
93,2024-03-26,Olívia Gomes,Moda,"4.305,80"
94,2023-04-10,Mariana Vasconcelos,Moda,"R$ 965,10  "
95,2023-08-09 10:30:00,Bruno Barbosa,Esporte,"2.692,14"
96,2023-07-19,João Carvalho,Livros,"R$ 3.407,67"
97,2024-06-05,Bruno Barbosa,misc,"2.295,29"
98,2023-12-11,Rafael Santos,esporte  ,"4.898,91"
99,  2024-08-15 10:30:00,Bruno Teixeira,Esporte,"755,69"
100,2024-09-18,Bruno Esteves,Esporte,"R$ 1.582,11"
101,16/09/2024,Henrique Jesus,Moda,"3.529,67"
102,2024-07-10,Mariana Martins,Modas,USD 4620.64
103,2024-08-23,Bruno Ribeiro,vestuario,"R$ 3.411,62"
104,22/10/2023,Bruno Carvalho,Moda,"R$ 4.566,96"
105,2023-10-24 10:30:00,Ana Klein,Eletrônicos,"3.213,06"
106,25/10/2024,Felipe  Almeida,  Casa,USD 4282.74
107,2019-07-16,Isabela Lopes,ESPORTE,"R$ 3.344,87"
108,30/10/2023,Henrique Henriques,livraria,"3.514,93"
  109,22/06/2024,Lucas Carvalho,ELETRONICOS,USD 1653.63
110  ,2024-03-01,Bruno Santos,  Casa,"3.733,34"
111,2023-07-04,Nuno Martins,Livros,"419,47"
112,2023-01-04 10:30:00,João Pereira,Esporte,"R$ 2.313,40"
113,Jan 17 2023,Carla Duarte,Livros,$ 3707.13
114,Aug 12 2024,Vitória Lopes,Moda,"1.389,92"
115,2024-10-20,Rafael Lopes,LIVRO  ,"R$ 1.219,70"
  116,2023-09-06,Karina Carvalho,casa_decoracao,USD 1897.86
117,Dec 07 2023,Ana Gomes,Eletrônicos,"3.483,49"
118,2024-01-04,Paulo  Pereira,Livros,"R$ 1.577,97"
119,2023-12-04,Tiago Henriques,Casa e Decoração,"R$ 2.462,62"
120,02/03/2023,Carla Barbosa,livraria,"65,42"
121,2019-10-10,Ana Ribeiro,Esporte,""
122,2023-06-02,Vitória Ribeiro,Casa  e Decoração,"R$ 2.305,30"
123,2024-07-19,Ana Ferreira,Livros,"4.868,75"
124,Dec 01 2024,  Sofia Teixeira,Moda,"2.942,81"
125,07/07/2024,Eduarda Carvalho,Casa e Decoração,USD 3033.10
126,2024-07-20,Nuno Ferreira,livraria,"R$ 385,90"
127,2024-03-31 10:30:00,Isabela Duarte,Moda,"R$ 534,21  "
128,2024-07-26,Henrique Teixeira  ,LIVRO,"R$ 334,91"
129,13/04/2024,João Almeida,Casa,"R$ 2.211,81"
130,2023-07-01,Karina Klein,Livros,"1.415,54"
131,2024-04-17,Gabriela Pereira,Eletrônicos,"2.505,98"
  132,2024-06-02,Nuno Santos,outros,"2.976,59"
133,2023-12-06,Nuno Duarte,"","2.603,05"
