order_id,order_date,customer,category,amount,reject_reason
1,2023-10-09,  Eduarda Duarte,Esportes,-,valor inválido
17,2023-02-22,  Nuno Jesus,outros,"1.324,20",categoria desconhecida
ORD-1023,2024-02-04,Nuno Santos,Esporte,"R$ 1.378,87",order_id inválido
29,2024-13-30,Mariana Teixeira,eletro,"R$ 270,27",data inválida
47,2024-04-29,Mariana Nogueira,Moda,n/a,valor inválido
52,09/10/2023,"",Eletrônicos,"4.515,70",cliente ausente
55,2024-02-09,"",Livros,"1.917,06",cliente ausente
82,18/08/2024,Karina Esteves,misc,"4.154,46",categoria desconhecida
85,2023-10-30,Vitória Oliveira,Livros,"-50,00",valor não positivo
89,2023-13-23,Paulo Almeida,Esporte,"R$ 3.066,85",data inválida
97,2024-06-05,Bruno Barbosa,misc,"2.295,29",categoria desconhecida
107,2019-07-16,Isabela Lopes,ESPORTE,"R$ 3.344,87",data fora do intervalo
121,2019-10-10,Ana Ribeiro,Esporte,"",data fora do intervalo; valor ausente
  132,2024-06-02,Nuno Santos,outros,"2.976,59",categoria desconhecida
145,17/02/2023,Olívia Almeida,Moda,"",valor ausente
0,2023-05-04,Nuno Esteves,Moda,USD 1580.11,order_id inválido
151,2023-03-11,"",Eletrônicos,"3.568,15",cliente ausente
155,29/04/2023,Rafael Almeida,diversos,"R$ 1.926,79",categoria desconhecida
157,2024-04-12,"",Esporte,"1.853,57",cliente ausente
158,2024-02-24,Sofia Martins,Eletrônicos,"",valor ausente
  162,2023-02-20,  Isabela Ferreira,outros,"R$ 2.759,01",categoria desconhecida
166,2024-13-26,Tiago Henriques,ELETRONICOS,"R$ 4.587,03",data inválida
180,2024-11-01,Vitória Queiroz,outros  ,"R$ 3.409,74",categoria desconhecida
191,2023-04-01,Nuno Oliveira,Livros,-,valor inválido
192,2019-05-08,Lucas Klein,Livros,USD 247.54,data fora do intervalo
193,2024-13-16,Gabriela Ferreira,livros,USD 3674.94,data inválida
196,2023-08-29  ,"",Eletrônicos,USD 468.43,cliente ausente
202,2024-05-25,Diego Queiroz,eletro,-,valor inválido
218,2023-05-28 10:30:00,Lucas Almeida,esporte,"",valor ausente
"",30/12/2024,Nuno  Jesus,Moda,"2.237,38",order_id inválido
224,30/05/2023,Paulo Martins,outros,"1.185,10",categoria desconhecida
228,2024-10-14 10:30:00,"",Casa,"R$ 2.367,11",cliente ausente
232,2019-12-02,Karina Oliveira,Moda,"2.689,22",data fora do intervalo
249,15/05/2023,Felipe Almeida,outros,"2.390,72",categoria desconhecida
251,2019-09-09,Paulo Klein,"","R$ 1.171,14",data fora do intervalo
265,2023-13-06,"",Moda,n/a,data inválida; cliente ausente; valor inválido
274,Jan 23 2023,Rafael Klein,Livros,"",valor ausente
279,May 18 2024,Felipe Gomes,Livros,"",valor ausente
281,2023-04-22,Bruno Henriques  ,Livros,n/a,valor inválido
290,2023-01-07,Karina Lopes,Esporte,-,valor inválido
305,2023-01-08,Henrique Ribeiro  ,Esporte,-,valor inválido
306,2023-13-14,Carla Ribeiro  ,eletronicos,"2.905,93",data inválida
310,29/06/2024,Mariana Queiroz,Esporte,"",valor ausente
319,2024-11-25,Sofia  Esteves,Moda,-,valor inválido
322,Mar 24 2023,"",Eletrônicos,"3.472,92",cliente ausente
324,2024-13-03,Gabriela  Jesus,diversos,"R$ 4.842,53",data inválida; categoria desconhecida
330,2023-13-17,João Ferreira,Esporte,n/a,data inválida; valor inválido
  335,2024-11-29,Eduarda Queiroz,Livros,-,valor inválido
337,14/06/2023,João Ferreira,moda,"-50,00",valor não positivo
349,30/08/2024,Diego Jesus,outros,"3.915,40",categoria desconhecida
360,2024-13-22,Karina Teixeira,livraria,"4.060,23",data inválida
381,2024-12-25,Olívia Jesus,Eletrônicos,"-50,00",valor não positivo
393,2024-13-03,Lucas Ferreira,esporte,USD 1148.61,data inválida
418,09/04/2024,"",Eletrônicos,"R$  2.045,78",cliente ausente
433,30/11/2024,Gabriela Vasconcelos,Esporte,"",valor ausente
434,2024-11-02,"",Moda,"R$ 1.064,89",cliente ausente
438,2024-06-14,"",Livros,USD 2103.22,cliente ausente
445,2023-09-02,  Ana Oliveira,"","",valor ausente
453,2024-05-08,"",Eletrônicos,"780,70",cliente ausente
0,2023-05-23,Diego Ribeiro,Moda,"R$ 2.385,97  ",order_id inválido
472,2019-10-22,Eduarda Nogueira,Livros,$ 1790.39,data fora do intervalo
487,2019-11-20,  Gabriela Klein,Esporte,n/a,data fora do intervalo; valor inválido
488,2019-04-06,Ana Duarte,MODA,"54,31",data fora do intervalo
499,2023-10-02,  Felipe Henriques,diversos,"R$ 4.710,44",categoria desconhecida
"",2024-04-30,Diego Barbosa,Casa,"R$ 1.487,23",order_id inválido
516,2024-02-05,  Eduarda Duarte,esporte,n/a,valor inválido
521,  2019-02-23,Felipe Teixeira,eletro,"2.352,55",data fora do intervalo
522,2023-12-03,Karina Vasconcelos,LIVRO,-,valor inválido
  523,2024-01-06,Paulo  Gomes,diversos,"1.363,50",categoria desconhecida
530,  2023-08-18 10:30:00,Isabela Jesus,Livros,"",valor ausente
536,2023-09-18,Gabriela Vasconcelos,"",  -,valor inválido
552,2024-05-15,Paulo Duarte  ,diversos,"4.179,24",categoria desconhecida
557,2019-06-30,Ana Barbosa,Casa,"4.792,49",data fora do intervalo
563,2023-03-10,"",Eletrônicos,USD 142.67,cliente ausente
570,2024-13-10,Gabriela Jesus,casa_decoracao,"R$ 4.046,36",data inválida
572,2023-05-11,João Duarte,  Modas,n/a,valor inválido
580,2023-03-28,Vitória Nogueira,Livros,"0,00  ",valor não positivo
582,2024-13-01,Tiago Teixeira,Casa e Decoração,"1.206,06",data inválida
596,2023-07-19,"",Eletrônicos,"R$ 2.143,50",cliente ausente
605,2024-01-22,Eduarda Jesus,eletro,-,valor inválido
617,2023-13-15  ,Felipe Almeida,Casa,"",data inválida; valor ausente
618,2024-10-24,Paulo Nogueira,misc,"304,84",categoria desconhecida
623,15/07/2023,Eduarda Klein,misc,"R$ 2.833,29",categoria desconhecida
629,2023-07-09,Gabriela Oliveira,Modas,"",valor ausente
637,14/04/2023,Carla Lopes  ,Casa,n/a,valor inválido
638  ,2024-13-22,Henrique Barbosa,LIVRO,"944,59",data inválida
639,2023-05-13  ,Olívia Vasconcelos,casa,"",valor ausente
656,2024-08-05,"",Eletrônicos,"2.952,28",cliente ausente
665,19/02/2023,Bruno Ribeiro,Esporte,n/a,valor inválido
667,14/12/2023,Nuno Almeida,Casa e Decoração,"",valor ausente
689  ,Aug 10 2024  ,Bruno Nogueira,Livros,-,valor inválido
694,2023-13-27,Henrique Henriques,Livros,$ 1233.21,data inválida
ORD-1023,2024-08-04,Carla Ferreira,Esporte,"502,70",order_id inválido
707,2023-11-18,Sofia Almeida,outros,"2.697,48",categoria desconhecida
726,2023-11-10,Nuno Lopes  ,misc,"R$ 3.303,17",categoria desconhecida
759,15/03/2023,Olívia Duarte,Casa,"",valor ausente
760,Oct 12 2024,Bruno Queiroz,Livros,n/a,valor inválido
761,2024-12-02 10:30:00,Ana Nogueira,outros  ,$ 1275.41,categoria desconhecida
762,2023-13-05,Sofia Pereira,livraria,"3.907,76",data inválida
763,19/02/2023,Diego Ribeiro,livros  ,n/a,valor inválido
0,  30/06/2023,Bruno Klein,Casa,"3.574,12",order_id inválido
  798,2023-02-22,"",Modas,"3.505,19",cliente ausente
804,Jul 04 2023,Ana Martins,Esporte,"",valor ausente
807,2024-02-09,Rafael Henriques,outros,$  257.72,categoria desconhecida
813,2023-11-26,Gabriela Barbosa,diversos,"",categoria desconhecida; valor ausente
819,26/04/2024,Eduarda Ferreira,Esportes,"",valor ausente
840,2023-02-11,Olívia Almeida,diversos,"",categoria desconhecida; valor ausente
850,2024-04-17,Nuno Santos,  Esporte,"",valor ausente
862,2023-13-04,Nuno Duarte,Esporte,"R$ 4.247,02",data inválida
  868,29/01/2024,Felipe Teixeira,  Esportes,n/a,valor inválido
890,2023-05-20,Ana Barbosa,outros,"R$ 3.243,07",categoria desconhecida
899,Mar 25 2024,"",livros,"2.986,92",cliente ausente
909,2023-13-25  ,Lucas Vasconcelos,  Moda,$ 3104.08,data inválida
910,2023-04-20,Isabela Ferreira,Eletrônico,-,valor inválido
  912,2019-01-23,  Diego Ribeiro,vestuario,USD 2004.76,data fora do intervalo
  913,2023-06-01,Diego Lopes,  livraria,"-50,00",valor não positivo
915,2023-13-25,Felipe Pereira,  Livros,$ 1778.69,data inválida
  920,Nov 07 2024,Gabriela Pereira,outros,"R$ 873,96",categoria desconhecida
925,2023-08-23,Isabela Carvalho,LIVRO,"0,00",valor não positivo
926,2023-04-20,Olívia Teixeira,livraria,"-50,00",valor não positivo
0,2023-08-16 10:30:00,Mariana Santos,Moda,$ 1307.15,order_id inválido
"",2023-13-14,Karina Santos,Livros,USD 844.31,order_id inválido; data inválida
"",2024-10-28,Eduarda Klein,esporte,"1.887,28",order_id inválido
0,2023-07-11,Eduarda Klein,  Livros,"R$ 2.379,74",order_id inválido
940,2024-05-30,Isabela  Santos,Livros,"",valor ausente
950,28/11/2024,Mariana Henriques,diversos,"2.710,84",categoria desconhecida
966,2023-07-24,Olívia Carvalho,Esporte,"",valor ausente
975  ,2024-03-26,Vitória Lopes,outros,"-50,00",categoria desconhecida; valor não positivo
988,2019-04-01,Vitória Klein,MODA,USD 1407.80,data fora do intervalo
990,  2024-01-17,Bruno Esteves,Livros,"-50,00",valor não positivo
1001,2023-13-20,Tiago Duarte,LIVRO,"1.338,23  ",data inválida
1007,2024-09-29,Eduarda Ribeiro,Moda,-,valor inválido
1014,2023-08-30  ,"",Moda,"R$ 3.272,25",cliente ausente
1022,2024-12-08,Isabela Lopes,outros,"R$ 1.118,24",categoria desconhecida
1023,2024-10-12,Lucas Esteves,livros,"-50,00",valor não positivo
1028,2023-12-11,Tiago Esteves,moda,"-50,00",valor não positivo
ORD-1023,2023-03-22  10:30:00,Vitória Gomes,  Casa,"R$ 3.484,17",order_id inválido
1034  ,2023-06-13,Eduarda Ribeiro,Esporte,"",valor ausente
